Species,TL_cm,SL_cm,Weight_g,a_TL,a_SL
Anoplagonus inermis,9.2,8.3,1.9,0.0024,0.0033
Bathyagonus nigripinnis,16.5,15.2,8.8,0.002,0.0025
Bothragonus swanii,5.2,5.0,4.6,0.0327,0.0368
Hypsagonus quadricornis,8.7,7.3,8.5,0.0129,0.0218
Odontopyxis trispinosa,7.1,6.4,1.3,0.0036,0.005
Pallasina barbata,11.5,10.1,2.1,0.0014,0.002
Podothecus accipenserinus,12.6,11.3,8.4,0.0042,0.0058
Podothecus sachi,18.0,16.0,25.0,0.0043,0.0061
Podothecus sturioides,19.4,16.9,28.1,0.0038,0.0058
Podothecus veternus,28.1,25.0,80.6,0.0036,0.0052
Sarritor frenatus,24.8,22.2,44.6,0.0029,0.0041
Sarritor leptorhynchus,13.6,12.8,7.1,0.0028,0.0034
Tilesina gibbose,22.2,19.8,18.3,0.0017,0.0024
Xeneretmus triacanthus,14.9,13.6,9.8,0.003,0.0039
Careproctus phasma,23.1,21.4,82.9,0.0067,0.0085
Crystallichthys cyclospilus,17.4,15.3,58.3,0.0111,0.0163
Eumicrotremus derjugini,6.4,5.2,22.9,0.0874,0.1629
Eumicrotremus orbis,5.3,4.1,9.0,0.0605,0.1306
Eumicrotremus pacificus,7.0,5.5,24.6,0.0717,0.1479
Liparis bristolensis,10.2,8.8,10.8,0.0102,0.0158
Liparis callyodon,6.9,8.8,5.0,0.0152,0.0073
Liparis cyclopus,6.2,5.1,1.6,0.0067,0.0121
Liparis dennyi,11.3,9.9,21.2,0.0147,0.0218
Liparis florae,11.9,10.0,17.9,0.0106,0.0179
Liparis fucensis,13.3,11.4,25.3,0.0108,0.0171
Liparis gibbus,14.9,12.6,27.7,0.0084,0.0138
Liparis inquilinus,2.5,2.3,0.3,0.0192,0.0247
Liparis micraspidophorus,6.0,5.1,2.4,0.0111,0.0181
Liparis mucosus,10.3,8.6,8.1,0.0074,0.0127
Liparis pulchellus,9.6,8.4,7.7,0.0087,0.013
Liparis rutteri,9.5,7.9,10.3,0.012,0.0209
Liparis tessellatus,22.3,19.6,87.8,0.0079,0.0117
Nectoliparis pelagicus,4.3,4.2,0.3,0.0038,0.004
Osteodiscus cascadiae,6.0,5.6,0.9,0.0042,0.0051
Paraliparis dactylosus,5.0,4.8,1.0,0.008,0.009
Paraliparis deani,5.8,5.0,0.7,0.0036,0.0056
Paraliparis holomelas,6.4,5.4,1.1,0.0042,0.007
Apeltes quadracus,5.0,4.5,1.2,0.0096,0.0132
Syngnathoides biaculeatus,22.0,15.6,12.5,0.0012,0.0033
Syngnathus scovelli,9.9,9.4,0.6,0.0006,0.0007
Acentrogobius janthinopterus,10.2,8.4,15.5,0.0146,0.0262
Bathygobius Andrei,3.8,3.2,0.5,0.0091,0.0153
Bathygobius coalitus,8.0,6.2,4.8,0.0094,0.0201
Bathygobius ramosus,10.0,7.9,9.6,0.0096,0.0195
Bollmannia chlamydes,9.5,7.0,7.0,0.0082,0.0204
Clevelandia ios,3.6,3.1,0.3,0.0064,0.0101
Dormitator maculatus,12.9,10.1,46.0,0.0214,0.0446
Gobiodon okinawae,5.5,4.4,3.6,0.0216,0.0423
Gobiosoma bosc,2.9,2.4,0.3,0.0123,0.0217
Lythrypnus gilberti,3.4,2.7,0.4,0.0102,0.0203
Lythrypnus Rhizophora,2.4,2.0,0.2,0.0145,0.025
Lythrypnus zebra,1.8,1.4,0.1,0.0171,0.0364
Microgobius thalassinus,4.1,3.2,0.4,0.0058,0.0122
Rhinogobiops nicholsii,8.5,6.9,5.6,0.0091,0.017
Sicyopterus japonicus,7.0,5.8,4.1,0.012,0.021
Typhlogobius californiensis,6.9,5.9,3.6,0.011,0.0175
Bathymaster caeruleofasciatus,15.8,13.9,35.9,0.0091,0.0134
Bathymaster leurolepis,20.5,18.2,72.5,0.0084,0.012
Bathymaster signatus,24.2,21.2,97.0,0.0068,0.0102
Ronquilus jordani,11.9,10.4,10.2,0.0061,0.0091
Dactyloscopus lacteus,4.5,4.0,0.7,0.0077,0.0109
Dactyloscopus lunaticus,3.6,3.3,0.3,0.0064,0.0083
Dactyloscopus pectoralis,3.2,2.7,0.2,0.0061,0.0102
Gillellus Arenicola,3.9,3.4,0.2,0.0034,0.0051
Myxodagnus opercularis,7.9,6.8,1.3,0.0026,0.0041
Astroscopus zephyreus,18.5,14.6,118.0,0.0186,0.0379
Crystallodytes cookie,4.1,3.7,0.1,0.0015,0.002
Kathetostoma albigutta,12.7,9.9,39.9,0.0195,0.0411
Aphos porosus,16.9,14.9,45.3,0.0094,0.0137
Opsanus pardus,7.9,6.4,7.1,0.0144,0.0271
Porichthys ephippiatus,11.5,9.9,13.3,0.0087,0.0137
Porichthys greenei,7.3,6.6,3.0,0.0077,0.0104
Arcos erythrops,4.5,3.6,1.1,0.0121,0.0236
Arcos rhodospilus,4.6,3.9,1.8,0.0185,0.0303
Gobiesox adustus,3.5,2.9,0.5,0.0117,0.0205
Gobiesox canidens,4.3,3.4,0.8,0.0101,0.0204
Gobiesox maeandricus,8.1,6.5,8.4,0.0158,0.0306
Gobiesox marijeanae,4.2,3.6,1.0,0.0135,0.0214
Pherallodiscus varius,2.2,1.7,0.1,0.0094,0.0204
Rimicola eigenmanni,3.4,3.0,0.3,0.0076,0.0111
Rimicola muscarum,4.4,3.8,0.4,0.0047,0.0073
Tomicodon absitus,2.5,1.9,0.1,0.0064,0.0146
Tomicodon chilensis,4.6,3.9,1.2,0.0123,0.0202
Tomicodon humeralis,4.7,3.8,0.7,0.0067,0.0128
Tomicodon zebra,4.2,3.5,0.7,0.0094,0.0163
Axoclinus cocoensis,2.2,1.8,0.1,0.0094,0.0171
Axoclinus lucillae,2.8,2.4,0.2,0.0091,0.0145
Enneanectes macrops,4.5,3.6,0.9,0.0099,0.0193
Gibbonsia metzi,7.8,6.7,3.8,0.008,0.0126
Labrisomus jenkinsi,14.3,11.9,47.9,0.0164,0.0284
Labrisomus pomaspilus,9.4,8.1,8.8,0.0106,0.0166
Labrisomus socorroensis,9.5,8.3,10.0,0.0117,0.0175
Malacoctenus ebisui,3.9,3.1,0.3,0.0051,0.0101
Malacoctenus gigas,2.4,2.0,0.1,0.0072,0.0125
Malacoctenus gilli,6.0,4.9,2.3,0.0106,0.0195
Malacoctenus zacae,4.5,3.6,0.7,0.0077,0.015
Malacoctenus zonifer,6.7,5.5,3.5,0.0116,0.021
Malacoctenus zonogaster,8.1,6.7,5.1,0.0096,0.017
Paraclinus beebei,3.6,3.2,0.6,0.0129,0.0183
Paraclinus ditrichus,3.7,3.1,0.5,0.0099,0.0168
Paraclinus mexicanus,4.0,3.4,0.6,0.0094,0.0153
Acanthemblemaria hancocki,3.8,3.3,0.4,0.0073,0.0111
Acanthemblemaria macrospilus,3.9,3.4,0.3,0.0051,0.0076
Atrosalarias holomelas,5.3,4.7,2.0,0.0134,0.0193
Coralliozetus rosenblatti,2.7,2.3,0.1,0.0051,0.0082
Entomacrodus chapmani,7.5,6.1,4.3,0.0102,0.0189
Entomacrodus chiostictus,4.2,3.3,0.6,0.0081,0.0167
Entomacrodus decussatus,8.2,7.0,7.9,0.0143,0.023
Hypsoblennius brevipinnis,2.9,2.4,0.4,0.0164,0.0289
Hypsoblennius striatus,4.2,3.4,0.8,0.0108,0.0204
Omobranchus elegans,3.7,3.1,0.4,0.0079,0.0134
Plagiotremus azaleus,5.6,4.9,0.5,0.0028,0.0042
Protemblemaria bicirrus,3.5,3.0,0.2,0.0047,0.0074
Alectrias alectrolophus,10.3,9.8,4.7,0.0043,0.005
Alectridium aurantiacum,7.8,7.3,2.4,0.0051,0.0062
Anoplarchus insignis,11.1,10.2,4.8,0.0035,0.0045
Anoplarchus purpurescens,9.7,9.0,5.9,0.0065,0.0081
Apodichthys flavidus,24.4,23.4,65.6,0.0045,0.0051
Bryozoichthys marjorius,16.6,15.2,21.8,0.0048,0.0062
Chirolophis decorates,22.3,20.6,75.9,0.0068,0.0087
Chirolophis nugator,10.2,9.2,4.8,0.0045,0.0062
Lumpenella longirostris,19.4,17.6,17.1,0.0023,0.0031
Lumpenus sagitta,19.2,17.5,8.7,0.0012,0.0016
Pholis clemensi,6.8,6.5,0.4,0.0013,0.0015
Pholis laeta,15.3,14.5,12.4,0.0035,0.0041
Pholis ornate,14.4,13.8,8.8,0.0029,0.0033
Pholis schultzi,6.7,6.3,0.9,0.003,0.0036
Phytichthys chirus,15.4,14.9,13.9,0.0038,0.0042
Plagiogrammus hopkinsii,9.8,8.9,7.9,0.0084,0.0112
Poroclinus rothrocki,20.0,16.8,10.0,0.0013,0.0021
Ptilichthys goodei,12.5,12.0,0.2,0.0001,0.0001
Xiphister atropurpureus,15.5,14.9,12.4,0.0033,0.0037
Xiphister mucosus,13.3,12.7,8.4,0.0036,0.0041
Bothrocara pusillum,11.7,11.4,2.4,0.0015,0.0016
Lycodapus endemoscotus,10.4,10.2,2.1,0.0019,0.002
Lycodapus fierasfer,10.1,9.9,1.8,0.0017,0.0019
Lycodapus mandibularis,9.0,8.8,3.2,0.0044,0.0047
Lycodapus parviceps,9.0,8.7,1.2,0.0016,0.0018
Lycodes brevipes,13.2,12.8,7.9,0.0034,0.0038
Lycodes mucosus,22.2,21.8,48.1,0.0044,0.0046
Lycodes palearis,19.5,19.2,23.1,0.0031,0.0033
Lycodes pallidus,15.0,14.6,11.3,0.0033,0.0036
Lycodes turneri,14.4,13.8,14.7,0.0049,0.0056
Melanostigma pammelas,10.5,10.3,2.5,0.0022,0.0023
Scytalina cerdale,9.7,9.2,1.7,0.0019,0.0022
Brosmophycis marginate,29.0,27.0,225.0,0.0092,0.0114
Dinematichthys iluocoeteoides,5.5,5.1,1.6,0.0096,0.0121
Halieutichthys aculeatus,5.7,4.6,3.2,0.0173,0.0329
Prionurus microlepidotus,16.8,14.0,100.3,0.0212,0.0366
Cantherhines Rapanui,16.2,13.0,72.5,0.0171,0.033
Cantherhines tiki,19.0,15.0,165.2,0.0241,0.0489
Canthidermis rotundatus,17.0,15.1,140.2,0.0285,0.0407
Guentheridia Formosa,14.3,11.4,57.0,0.0195,0.0385
Lactoria paschae,16.3,13.2,150.8,0.0348,0.0656
Sphoeroides parvus,9.5,7.8,14.6,0.017,0.0308
